菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
新鲜姬松茸,5,81.0,素鸡:25.0g | 栗子(鲜)[板栗]:2.0g | 葫子:2.0g | 猪肚:50.0g | 盐水鸭(熟):2.0g,475.36,12.16,6.21,2.44,0.0,1.06,86.77,162.45
紫甘蓝大肉饺子,10,1620.0,水饺(海鳗猪肉馅):400.0g | 苤蓝[玉蔓菁，球茎甘蓝]:400.0g | 小麦粉(标准粉):500.0g | 大葱:10.0g | 芝麻油[香油]:10.0g | 酱油(均值):10.0g | 料酒:10.0g | 盐水鸭(熟):10.0g | 姜[黄姜](鲜):10.0g | 水面筋:260.0g,14240.0,182.05,92.04,464.97,0.0,166.1,512.1,3646.23
猪肉酸菜焖面,8,1404.0,猪肉(肥瘦)(均值):50.0g | 油饼:100.0g | 猪肉(肥瘦)(均值):150.0g | 青蒜:2.0g | 老抽:2.0g | 马铃薯[土豆，洋芋]:150.0g | 酸白菜[酸菜]:350.0g | 小麦粉(标准粉):600.0g,14542.84,108.56,106.91,523.6,0.0,47.82,425.02,1003.19
猪肉萝卜丝饺子,13,130.0,藕粉:10.0g | 藕粉:10.0g | 水面筋:10.0g | 水面筋:10.0g | 青萝卜:10.0g | 水饺(海鳗猪肉馅):10.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 胡椒粉:10.0g | 生抽:10.0g | 芝麻油[香油]:10.0g | 盐水鸭(熟):10.0g | 糖（绵白糖）:10.0g,1417.8,9.71,14.71,42.15,0.0,3.5,31.8,876.94
鹌鹑蛋烩麻花,4,40.0,鹌鹑:10.0g | 麻花:10.0g | 木耳(干)[黑木耳，云耳]:10.0g | 火腿肠:10.0g,465.8,5.46,4.65,13.48,0.0,0.0,33.0,96.73
山药炒芹菜,5,50.0,芹菜(白茎)[旱芹，药芹]:10.0g | 山药[薯蓣，大薯](鲜):10.0g | 黄瓜[胡瓜](鲜):10.0g | 花生油:10.0g | 盐水鸭(熟):10.0g,537.2,2.01,12.65,2.2,0.0,2.6,11.0,165.83
凉皮水,15,460.0,小麦粉(标准粉):300.0g | 水面筋:2.0g | 黄瓜[胡瓜](鲜):1.0g | 绿豆芽:2.0g | 酵母(鲜):2.0g | 花椒:10.0g | 奶片:30.0g | 生抽:30.0g | 油面筋:15.0g | 芝麻籽(白):10.0g | 大蒜[蒜头](鲜):2.0g | 芝麻酱:30.0g | 花生(鲜)[落花生，长生果]:10.0g | 香菜[芫荽](鲜):1.0g | 油（辣椒油):15.0g,7220.21,53.21,52.57,263.99,0.0,3.73,664.46,2004.51
唐杜里鸡,16,326.0,大葱:100.0g | 姜(干):100.0g | 剁辣椒:5.0g | 酱鸭:10.0g | 素鸡:15.0g | 鸡腿:1.0g | 黄豆粉:5.0g | 素什锦:5.0g | 素鸡:5.0g | 绿豆芽:5.0g | 素鸡:5.0g | 柠檬:50.0g | 绿豆芽:5.0g | 精盐:5.0g | 黄豆粉:5.0g | 素什锦:5.0g,2103.08,22.48,14.58,80.7,0.3,28.6,263.26,2343.49
白玉蘑菇炒油菜,11,110.0,油菜:10.0g | 白瓜:10.0g | 鸡腿菇(干)[毛头鬼伞]:10.0g | 玉米笋(罐头):10.0g | 红豆沙:10.0g | 盐水鸭(熟):10.0g | 鸡精:10.0g | 玉米淀粉:10.0g | 色拉油:10.0g | 洋葱[葱头](鲜):10.0g | 大蒜[蒜头](鲜):10.0g,1050.5,6.91,13.2,27.71,1.95,6.7,26.5,2077.95
韩式鲜菌辣肥牛汤锅,8,623.0,牛蒡叶(鲜):100.0g | 大白菜(均值):50.0g | 香菇[香蕈，冬菇](鲜):400.0g | 豆腐脑[老豆腐]:25.0g | 酱鸭:30.0g | 盐水鸭(熟):5.0g | 烧饼(加糖):3.0g | 大葱:10.0g,1105.73,21.64,9.17,32.06,0.0,46.2,288.63,409.67
