菜品名称,有效匹配食材数,总重量(g),参与计算的成分明细,能量(kJ),蛋白质(g),脂肪(g),碳水化合物(g),膳食纤维(g),维生素C(mg),钙(mg),钠(mg)
蜂蜜芹菜汁,2,160.0,芹菜(白茎)[旱芹，药芹]:150.0g | 蜂蜜:10.0g,242.7,1.24,0.34,13.41,0.0,18.3,72.4,110.73
番茄肉酱通心粉,7,210.0,番茄酱:10.0g | 番茄[西红柿]:150.0g | 牛肉(肥瘦)(均值):10.0g | 通心面[通心粉]:10.0g | 黄油:10.0g | 胡椒粉:10.0g | 奶酪[干酪]:10.0g,1021.5,8.69,13.12,23.51,0.0,28.5,105.1,86.11
韩式紫菜卷,7,70.0,米饭(蒸)(均值):10.0g | 红菜薹[紫菜薹]:10.0g | 蛋（鸡蛋，均值):10.0g | 黄瓜[胡瓜](鲜):10.0g | 胡萝卜(红)[金笋，丁香萝卜]:10.0g | 盐水鸭(熟):10.0g | 白醋:10.0g,282.2,3.73,3.87,4.59,0.0,7.9,18.1,199.52
补肾汤,7,741.0,酱排骨:600.0g | 山药[薯蓣，大薯](鲜):50.0g | 核桃(鲜):50.0g | 枸杞菜[枸杞，地骨](鲜):10.0g | 百合(鲜):20.0g | 蜜枣:1.0g | 奶片:10.0g,10308.52,140.09,177.4,81.83,0.0,17.95,101.29,4984.84
熟肉,4,155.0,胡椒粉:2.0g | 海带[江白菜](鲜):1.0g | 花生油:2.0g | 咸肉:150.0g,2524.59,24.95,56.04,1.56,0.0,0.0,15.74,293.65
西红柿鸡蛋热汤面,8,177.0,"番茄[西红柿]:50.0g | 芝麻油[香油]:15.0g | 蛋（鸡蛋，均值):50.0g | 葱(小葱,鲜):5.0g | 烧饼(加糖):25.0g | 盐水鸭(熟):2.0g | 生抽:15.0g | 鸡精:15.0g",1380.67,11.84,20.96,24.28,0.1,10.55,54.5,3903.08
爆炒藕片,3,30.0,藕[莲藕]:10.0g | 猪肉(肥瘦)(均值):10.0g | 大蒜[蒜头](鲜):10.0g,248.5,1.96,3.74,4.64,0.0,5.1,8.4,12.32
百利甜慕斯,12,515.0,海参:10.0g | 蛋（鸡蛋，均值):100.0g | 糖（白砂糖）:50.0g | 小麦粉(标准粉):60.0g | 太妃糖:10.0g | 乳品（奶油）:150.0g | 酱鸭:10.0g | 婴儿配方奶粉(吉利蜜1，森永牌):3.0g | 油饼:10.0g | 糖（白砂糖）:10.0g | 乳品（奶油）:100.0g | 婴儿配方奶粉(吉利蜜1，森永牌):2.0g,12155.35,27.1,259.35,124.33,0.0,2.5,174.1,1017.27
荠菜肉包,3,6.0,荠菜[蓟菜，菱角菜](鲜):2.0g | 猪肉(肥瘦)(均值):2.0g | 小麦粉(标准粉):2.0g,64.82,0.55,0.78,1.61,0.0,0.86,6.62,1.88
白菜年糕,11,1422.0,白菜薹[菜薹，菜心]:300.0g | 猪肉(奶面)[硬五花]:500.0g | 年糕:10.0g | 洋葱[葱头](鲜):10.0g | 红萝卜:10.0g | 甘蓝[圆白菜，卷心菜]:25.0g | 油炸豆瓣:10.0g | 黄豆芽:500.0g | 方便面:10.0g | 大葱:45.0g | 糖（白砂糖）:2.0g,8941.01,104.04,165.87,68.03,0.0,190.75,464.1,545.66
家常炖鲤鱼,8,136.5,鲤鱼[鲤拐子]:10.0g | 奶片:10.0g | 细香葱[香葱，四季葱]:2.0g | 料酒:10.0g | 酱油(均值):22.5g | 白醋:30.0g | 水面筋:2.0g | 辣椒(红，尖，干):50.0g,937.92,12.43,8.64,34.99,0.0,0.78,64.55,1415.73
菜干瘦肉粥,5,288.5,蛋（松花蛋，鸭蛋)[皮蛋]:50.0g | 籼米(标准)[机米]:1.0g | 紫菜(干):200.0g | 玉兰片:30.0g | 酒枣:7.5g,2601.18,61.48,7.69,99.49,0.0,4.3,577.85,1693.0
康乃馨蛋糕,2,20.0,乳品（奶油）:10.0g | 乳品（奶油）:10.0g,723.2,0.14,19.4,0.18,0.0,0.0,2.8,53.6
滋补羊肉萝卜汤,10,1150.0,变萝卜[红皮萝卜]:1.0g | 羊肉(肥瘦)(均值):1000.0g | 盐水鸭(熟):2.0g | 料酒:2.0g | 玉兰片:60.0g | 花椒:10.0g | 虾皮:10.0g | 蛇瓜[蛇豆，大豆角]:50.0g | 糜子(带皮):5.0g | 球茎茴香:10.0g,8968.74,196.93,142.95,25.11,0.0,4.04,356.68,1364.18
墨鱼干,8,80.0,素鸡:10.0g | 墨鱼[曼氏无针乌贼]:10.0g | 藕[莲藕]:10.0g | 莲子(干):10.0g | 眉豆[饭豇豆](干):10.0g | 蜜枣:10.0g | 豆汁(生):10.0g | 海带[江白菜](鲜):10.0g,586.7,7.28,1.71,24.47,0.0,10.4,64.3,71.53
虾仁小炒,4,454.0,蒜苗:250.0g | 虾米[海米，虾仁]:200.0g | 细香葱[香葱，四季葱]:3.0g | 小米:1.0g,2123.58,92.82,6.24,20.97,0.0,87.92,1184.53,9796.59
大白菜汤,6,565.0,白菜薹[菜薹，菜心]:25.0g | 虾（海虾）:500.0g | 盐水鸭(熟):10.0g | 鸡精:10.0g | 芝麻油[香油]:10.0g | 花豆(干，红):10.0g,2415.65,89.34,16.12,18.32,0.07,11.0,760.5,3561.05
草莓冻芝士蛋糕,8,666.0,杏干:80.0g | 黄油:40.0g | 乳品（奶油）:140.0g | 牛奶(草莓味，卡夫牌):100.0g | 低脂奶酪:1.0g | 糖（白砂糖）:45.0g | 藕粉:10.0g | 草莓[洋莓，凤阳草莓]:250.0g,9272.51,9.14,178.94,150.25,0.0,117.5,289.22,480.55
父亲节蛋糕,9,642.0,蛋黄（鸡蛋黄）:90.0g | 糖（白砂糖）:100.0g | 牛奶(草莓味，卡夫牌):85.0g | 色拉油:60.0g | 鸡蛋白:170.0g | 玉米淀粉:25.0g | 藕粉:100.0g | 素鸡:10.0g | 蛋糕(水果):2.0g,7912.1,37.9,89.44,232.89,0.0,0.0,258.26,267.06
宝宝辅食记录,1,10.0,蛋（鸡蛋，均值):10.0g,59.9,1.33,0.88,0.28,0.0,0.0,5.6,13.15
香菇青菜面,4,119.0,韭菜:3.0g | 香菇[香蕈，冬菇](鲜):6.0g | 油条:10.0g | 蛋（鸡蛋，均值):100.0g,771.75,14.19,10.59,8.35,0.0,0.78,57.98,190.35
菠萝啤,8,423.0,鸡翅:300.0g | 菠萝[凤梨，地菠萝]:25.0g | 小米:10.0g | 料酒:30.0g | 酱油(均值):30.0g | 小米:10.0g | 油炸豆瓣:3.0g | 油面筋:15.0g,3227.74,60.68,40.13,42.25,0.0,4.5,65.44,1976.77
香菇蒸鸡腿,4,750.0,鸡腿:400.0g | 香菇[香蕈，冬菇](鲜):150.0g | 花椒:50.0g | 大葱:150.0g,4038.5,73.2,57.35,50.8,0.0,27.0,390.0,290.6
姜葱炒鸡,10,395.0,玉兰片:200.0g | 细香葱[香葱，四季葱]:6.0g | 油面筋:30.0g | 素鸡:25.0g | 烧饼(加糖):25.0g | 酱鸭:30.0g | 盐水鸭(熟):2.0g | 芹菜(白茎)[旱芹，药芹]:2.0g | 洋葱[葱头](鲜):25.0g | 大蒜[蒜头](鲜):50.0g,2367.9,28.09,18.19,84.55,0.0,8.58,219.3,459.64
海带龙骨汤,4,40.0,龙豆(鲜):10.0g | 海带[江白菜](鲜):10.0g | 盐水鸭(熟):10.0g | 水面筋:10.0g,210.4,4.5,2.68,2.22,0.0,1.1,27.9,158.52
葱香拌面,6,45.0,小米面:1.0g | 细香葱[香葱，四季葱]:1.0g | 油炸豆瓣:1.0g | 午餐肉:25.0g | 油饼:15.0g | 油饼:2.0g,558.32,4.04,7.99,11.6,0.0,0.14,23.64,346.46
米饭面包,8,536.8,藕粉:230.0g | 米饭(蒸)(均值):100.0g | 烧饼(加糖):30.0g | 盐水鸭(熟):4.0g | 椰子汁饮料:50.0g | 牛奶(草莓味，卡夫牌):100.0g | 油饼:20.0g | 酵母(干):2.8g,5385.74,12.09,10.8,282.08,0.0,0.0,132.77,258.04
内蒙古奶茶,7,660.0,全脂奶粉(雀巢):500.0g | 水面筋:150.0g | 鲐鱼[青鲐鱼，鲐巴鱼，青砖鱼]:2.0g | 酱牛肉:2.0g | 奶皮子:2.0g | 籼米(标准)[机米]:2.0g | 盐水鸭(熟):2.0g,11838.14,157.01,141.93,231.31,0.0,0.0,4782.2,72.87
辣炒鱿鱼圈,7,348.0,乌贼(鲜)[鱿鱼，台湾枪乌贼，枪:200.0g | 青豆[青大豆](干):50.0g | 料酒:30.0g | 玉兰片:30.0g | 鸡精:25.0g | 盐水鸭(熟):3.0g | 油饼:10.0g,2042.48,56.88,15.09,35.73,0.17,0.3,211.7,5122.55
番茄炒蛋拌面,5,256.0,番茄[西红柿]:100.0g | 蛋（鸡蛋，均值):150.0g | 油饼:2.0g | 面条(均值):2.0g | 盐水鸭(熟):2.0g,1068.34,21.51,14.39,10.34,0.0,19.0,95.34,245.41
干贝排骨粥,6,89.0,香大米:1.0g | 酱排骨:25.0g | 香菇[香蕈，冬菇](鲜):3.0g | 粳米(标一):25.0g | 鸡精:25.0g | 韭菜:10.0g,984.06,10.46,7.58,31.22,0.17,2.43,11.59,4924.14
熬鱼,2,20.0,堤鱼:10.0g | 料酒:10.0g,80.0,1.79,1.28,0.13,0.0,0.0,2.9,33.5
扁豆炒雪菜,2,20.0,豆粕:10.0g | 芥菜[雪里红，雪菜](鲜):10.0g,149.0,4.45,0.25,4.26,0.0,3.1,38.4,10.65
棒骨海带汤,2,110.0,海带[江白菜](鲜):100.0g | 大葱:10.0g,68.9,1.37,0.13,2.75,0.0,1.7,48.9,9.08
鸡肉炖白菜,8,1050.0,咖喱粉:15.0g | 小白菜:1.0g | 鸡精:30.0g | 料酒:100.0g | 鸡腿:500.0g | 牛奶(草莓味，卡夫牌):400.0g | 胡椒粉:2.0g | 杏干:2.0g,5620.05,96.52,79.72,63.67,5.74,0.58,443.28,6372.16
芹菜千张肉丝,9,82.0,猪肉(肋条肉):40.0g | 千张[百页]:2.0g | 油炸豆瓣:2.0g | 鸡精:2.0g | 盐水鸭(熟):2.0g | 生抽:2.0g | 玉兰片:20.0g | 芹菜(白茎)[旱芹，药芹]:2.0g | 油饼:10.0g,1261.4,6.68,27.07,9.95,0.01,0.44,24.56,634.84
素炒长豆角,5,515.0,油炸豆瓣:1.0g | 盐水鸭(熟):2.0g | 豆角:500.0g | 油饼:10.0g | 油饼:2.0g,970.13,14.03,4.37,39.19,0.0,90.0,151.35,120.44
千里香馄饨,3,350.0,细香葱[香葱，四季葱]:100.0g | 油炸豆瓣:50.0g | 油（菜籽油)[青油]:200.0g,8424.5,15.05,205.0,34.55,0.0,14.0,103.5,193.7
冰糖佛手,2,1000.0,佛手瓜[棒瓜，菜肴梨]:500.0g | 黄米:500.0g,7830.0,54.5,8.0,403.5,0.0,40.0,85.0,21.5
土豆烩茄子,7,112.0,马铃薯[土豆，洋芋]:50.0g | 茄子(均值):50.0g | 盐水鸭(熟):2.0g | 油炸豆瓣:4.0g | 酱油(均值):2.0g | 猪肉(肥瘦)(均值):2.0g | 大葱:2.0g,348.28,3.3,1.86,13.67,0.0,16.34,20.74,166.0
栗子羹,4,362.0,南瓜[倭瓜，番瓜](鲜):250.0g | 水面筋:100.0g | 糯米[江米](均值):10.0g | 松子仁:2.0g,1059.14,26.25,1.86,33.62,0.0,20.0,120.16,17.35
板栗烧排骨,11,528.0,猪小排:300.0g | 栗子(鲜)[板栗]:20.0g | 大葱:3.0g | 大蒜[蒜头](鲜):3.0g | 江米酒:150.0g | 老抽:15.0g | 生抽:15.0g | 盐水鸭(熟):3.0g | 番茄酱:15.0g | 糖（冰糖）:2.0g | 芝麻籽(白):2.0g,4249.0,57.03,71.12,38.52,0.0,5.52,95.25,2240.06
红豆沙餐包,9,1911.0,藕粉:520.0g | 牛奶(草莓味，卡夫牌):300.0g | 黄油:40.0g | 糖（白砂糖）:65.0g | 盐水鸭(熟):6.0g | 酵母(鲜):15.0g | 面条(均值):165.0g | 全脂加糖奶粉:20.0g | 豆沙:780.0g,22495.71,72.18,70.42,1105.86,0.0,0.0,749.3,572.59
大葱炒牛肉,8,80.0,大葱:10.0g | 牛肉(肥瘦)(均值):10.0g | 豆腐干(均值):10.0g | 油饼:10.0g | 油面筋:10.0g | 酱油(均值):10.0g | 料酒:10.0g | 糖（绵白糖）:10.0g,696.6,7.86,5.62,21.18,0.0,1.7,52.1,679.65
大酱炒鸡蛋,5,166.0,蛋（鸡蛋，均值):150.0g | 油饼:2.0g | 黄酱[大酱]:10.0g | 花豆(干，红):2.0g | 味精:2.0g,1040.96,22.5,13.81,8.96,0.0,0.0,94.68,732.76
猪肉饺子馅,7,603.0,猪肉(奶面)[硬五花]:250.0g | 扁豆[月亮菜]:100.0g | 蛋（鸡蛋，均值):50.0g | 玉米(白，干):50.0g | 荸荠[马蹄，地栗](鲜):150.0g | 细香葱[香葱，四季葱]:1.0g | 糖（白砂糖）:2.0g,5144.22,49.57,83.3,75.82,0.0,23.64,92.94,224.36
昂刺炖豆腐,7,32.0,油条:4.0g | 豆腐花[豆腐粉]:10.0g | 大葱:2.0g | 姜[黄姜](鲜):2.0g | 盐水鸭(熟):2.0g | 料酒:10.0g | 胡椒粉:2.0g,298.7,1.89,1.55,12.4,0.0,0.42,20.5,82.05
小白菜包子,13,130.0,猪肉(肥瘦)(均值):10.0g | 小白菜:10.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 料酒:10.0g | 香肠:10.0g | 酱油(均值):10.0g | 生抽:10.0g | 盐水鸭(熟):10.0g | 料酒:10.0g | 芝麻油[香油]:10.0g | 藕粉:10.0g | 小麦粉(标准粉):10.0g,1256.1,8.08,20.64,21.28,0.0,4.9,33.4,1671.6
麻辣鲤鱼,10,100.0,鲤鱼[鲤拐子]:10.0g | 细香葱[香葱，四季葱]:10.0g | 玉兰片:10.0g | 料酒:10.0g | 油炸豆瓣:10.0g | 花椒:10.0g | 盐水鸭(熟):10.0g | 老抽:10.0g | 生抽:10.0g | 糖（绵白糖）:10.0g,755.6,8.42,5.0,27.3,0.0,1.5,92.1,1558.7
蟹肉豆腐,12,63.0,猪肉(肥瘦)(均值):2.0g | 鸡蛋(白皮):10.0g | 芹菜(白茎)[旱芹，药芹]:2.0g | 蟹肉:25.0g | 豆腐丝:10.0g | 精盐:2.0g | 生抽:2.0g | 烧饼(加糖):2.0g | 大蒜[蒜头](鲜):2.0g | 料酒:2.0g | 生蚝:2.0g | 小米:2.0g,314.8,7.35,3.13,4.48,0.0,0.38,88.39,1008.14
海带根,5,4009.0,海带[江白菜](鲜):2500.0g | 陈醋:1500.0g | 玉米笋(罐头):5.0g | 海鲜酱(阿香婆):2.0g | 糖（绵白糖）:2.0g,8682.93,177.12,7.83,323.79,0.0,0.0,3029.88,12805.73
彩椒盅,11,524.0,彩椒:150.0g | 猪肉(肋条肉):300.0g | 番茄[西红柿]:1.0g | 蛋（鸡蛋，均值):50.0g | 小泥肠:2.0g | 生抽:1.0g | 料酒:1.0g | 油饼:1.0g | 糖（白砂糖）:1.0g | 胡椒粉:2.0g | 小麦粉(标准粉):15.0g,7798.3,38.74,182.73,25.11,4.95,156.19,65.65,401.8
茶香鹌鹑蛋,4,40.0,鹌鹑:10.0g | 茶（绿茶）:10.0g | 盐水鸭(熟):10.0g | 糖（冰糖）:10.0g,482.7,7.1,3.15,15.26,0.0,1.9,40.6,163.68
烤兔肉,12,189.0,香肠:2.0g | 罗非鱼:2.0g | 盐水鸭(熟):2.0g | 蜂蜜:30.0g | 油（橄榄油):2.0g | 香大米:2.0g | 红葡萄酒:15.0g | 油面筋:15.0g | 芝麻籽(白):2.0g | 油饼:15.0g | 油（橄榄油):2.0g | 兔肉:100.0g,1727.63,26.86,16.14,39.99,0.0,0.9,40.73,214.55
巧克力酱戚风,10,357.0,鸡蛋(白皮):100.0g | 蛋黄（鸡蛋黄）:35.0g | 鸡蛋白:75.0g | 鸡蛋白:15.0g | 玉米油:20.0g | 巧克力:45.0g | 牛奶(草莓味，卡夫牌):20.0g | 小麦粉(标准粉):35.0g | 可可粉:10.0g | 柠檬:2.0g,3850.59,36.97,58.83,63.0,0.0,0.44,181.32,245.03
馄饨汤,7,225.5,冬菜虾仁馄饨:10.0g | 藕粉:125.0g | 水面筋:30.0g | 蛋清肠:40.0g | 盐水鸭(熟):0.5g | 玉米油:10.0g | 油（辣椒油):10.0g,3441.98,13.29,29.63,124.97,0.23,0.0,46.65,514.81
酱烧小黄鱼,11,134.0,黄鱼(小黄花鱼):2.0g | 油条:1.0g | 细香葱[香葱，四季葱]:6.0g | 玉米淀粉:20.0g | 料酒:15.0g | 生抽:15.0g | 老抽:15.0g | 盐水鸭(熟):15.0g | 烧饼(加糖):15.0g | 醋栗[灯笼果]:15.0g | 豆油:15.0g,1391.52,6.59,19.64,32.85,0.0,5.04,31.86,2287.82
牛肉烧胡萝卜,13,1384.0,胡萝卜(红)[金笋，丁香萝卜]:250.0g | 牛肉(肥瘦)(均值):900.0g | 豆角:100.0g | 奶片:20.0g | 沙果:1.0g | 辣椒(红，尖，干):7.0g | 姜[黄姜](鲜):10.0g | 啤酒(均值):50.0g | 生抽:25.0g | 老抽:10.0g | 糖（冰糖）:5.0g | 盐水鸭(熟):3.0g | 花椒:3.0g,6090.23,190.83,44.55,75.03,0.0,51.93,407.21,3318.63
芹菜香干炒肉丝,9,469.0,芹菜(白茎)[旱芹，药芹]:300.0g | 豆腐干(均值):1.0g | 生抽:15.0g | 玉米淀粉:25.0g | 盐水鸭(熟):2.0g | 料酒:15.0g | 大葱:1.0g | 奶片:10.0g | 猪肉(里脊):100.0g,1472.98,25.51,10.82,39.82,0.0,36.67,189.47,1314.31
糖醋青椒,10,524.0,奶片:250.0g | 青豆[青大豆](干):200.0g | 大蒜[蒜头](鲜):20.0g | 油饼:10.0g | 生抽:10.0g | 老抽:10.0g | 醋栗[灯笼果]:10.0g | 油面筋:10.0g | 盐水鸭(熟):1.0g | 糖（绵白糖）:3.0g,8918.25,108.16,87.7,239.24,0.0,16.7,1094.88,1862.21
干豇豆烧肉,8,631.0,豇豆:80.0g | 猪肉(奶面)[硬五花]:500.0g | 料酒:4.0g | 大葱:10.0g | 糖（冰糖）:15.0g | 生抽:10.0g | 老抽:10.0g | 盐水鸭(熟):2.0g,7473.72,72.1,153.83,33.7,0.0,16.9,63.01,1634.11
鸭蛋羹,10,190.0,茼蒿[蓬蒿菜，艾菜](鲜):25.0g | 蛋（鸭蛋）:50.0g | 黄酒:10.0g | 烧饼(加糖):15.0g | 盐水鸭(熟):15.0g | 细香葱[香葱，四季葱]:3.0g | 胡椒粉:25.0g | 油饼:2.0g | 生抽:25.0g | 奶片:20.0g,1638.96,17.12,15.89,45.36,0.0,5.92,123.34,1981.63
豆豉鲫鱼,1,10.0,鲫鱼[喜头鱼，海附鱼]:10.0g,45.5,1.71,0.27,0.38,0.0,0.0,7.9,4.12
韩式鲍鱼粥,4,860.0,鲍鱼[杂色鲍]:100.0g | 油饼:10.0g | 稻米(均值):250.0g | 酱牛肉:500.0g,9351.9,188.89,64.59,221.59,0.0,0.0,403.1,6424.45
葱爆面,5,50.0,挂面(均值):10.0g | 糖（绵白糖）:10.0g | 油饼:10.0g | 酱油(均值):10.0g | 大葱:10.0g,525.1,2.56,2.39,23.35,0.0,1.7,16.4,652.08
冰糖柠檬蜜,2,210.0,柠檬:200.0g | 糖（冰糖）:10.0g,482.8,2.2,2.4,22.33,0.0,44.0,204.3,2.47
酸辣土豆条,6,486.0,马铃薯[土豆，洋芋]:300.0g | 黄酒:1.0g | 酱油(均值):30.0g | 籼米(标准)[机米]:45.0g | 糖（白砂糖）:30.0g | 水面筋:80.0g,2725.03,30.05,0.98,129.76,0.0,81.0,116.41,1748.14
肉酿虎皮尖椒,10,341.0,"豌豆尖:300.0g | 水饺(海鳗猪肉馅):2.0g | 生抽:2.0g | 油面筋:2.0g | 包子(猪肉馅):2.0g | 葱(小葱,鲜):2.0g | 玉米笋(罐头):25.0g | 酱油(均值):2.0g | 醋栗[灯笼果]:2.0g | 包子(猪肉馅):2.0g",3037.11,10.95,1.33,165.55,0.07,33.98,57.4,325.77
红豆酱,3,603.0,红豆沙:300.0g | 糖（冰糖）:300.0g | 奶片:3.0g,8228.46,13.9,0.91,470.98,0.0,0.15,134.07,92.39
萝卜馅包子,17,1286.0,包子(三鲜馅):10.0g | 包子(三鲜馅):10.0g | 小麦粉(标准粉):400.0g | 水面筋:200.0g | 酵母(鲜):2.5g | 烧饼(加糖):9.0g | 牛肉(肥瘦)(均值):250.0g | 红萝卜:320.0g | 大葱:10.0g | 姜(干):3.0g | 芝麻油[香油]:15.0g | 花生油:30.0g | 酱油(均值):18.0g | 盐水鸭(熟):5.0g | 烧饼(加糖):2.0g | 胡椒粉:0.5g | 花椒:1.0g,10921.53,149.57,65.52,357.64,0.0,11.3,403.02,1577.38
葱拌面,7,70.0,"面条(均值):10.0g | 油面筋:10.0g | 青豆[青大豆](干):10.0g | 葱(小葱,鲜):10.0g | 洋葱[葱头](鲜):10.0g | 酱油(均值):10.0g | 酸奶(调味):10.0g",586.5,8.1,4.57,17.36,0.0,2.9,56.2,590.07
炖大骨,7,978.0,猪大肠:600.0g | 粳米(标一):200.0g | 料酒:30.0g | 玉兰片:100.0g | 小麦粉(标准粉):30.0g | 细香葱[香葱，四季葱]:3.0g | 生抽:15.0g,8518.93,63.65,114.27,195.7,0.0,1.42,141.52,1744.13
白菜炒年糕,2,20.0,年糕:10.0g | 白菜薹[菜薹，菜心]:10.0g,78.0,0.61,0.11,3.87,0.0,4.4,12.7,8.24
豆花肉片,5,185.0,豆腐丝:1.0g | 猪肉(里脊):150.0g | 豆瓣酱:30.0g | 玉米淀粉:2.0g | 料酒:2.0g,1237.96,34.62,14.0,7.94,0.0,0.0,27.58,1874.13
紫薯水晶粽,5,262.0,小米面:100.0g | 面条(均值):50.0g | 紫红糯米[血糯米]:100.0g | 玉米油:10.0g | 水面筋:2.0g,3968.98,20.12,14.07,184.05,0.0,0.0,60.12,24.64
砂锅麻辣烫,11,102.0,精盐:10.0g | 料酒:10.0g | 芝麻酱:10.0g | 大葱:10.0g | 大蒜[蒜头](鲜):10.0g | 奶糖:10.0g | 油饼:10.0g | 鸡精:2.0g | 韭菜:10.0g | 粉条:10.0g | 牛奶(草莓味，卡夫牌):10.0g,876.04,4.38,8.68,28.93,0.01,4.8,152.66,4425.78
煮咸茄,12,132.0,杏干:25.0g | 茄子(均值):2.0g | 大葱:10.0g | 姜[黄姜](鲜):10.0g | 大蒜[蒜头](鲜):10.0g | 红豆沙:10.0g | 水面筋:10.0g | 油饼:10.0g | 酱油(均值):15.0g | 糖（绵白糖）:5.0g | 黄豆酱油:15.0g | 味精:10.0g,1043.96,10.66,2.59,46.26,0.0,2.9,84.78,2610.14
椒盐虾菇,6,257.0,精盐:2.0g | 辣椒(红，尖，干):200.0g | 辣椒(红，尖，干):25.0g | 小米:10.0g | 盐水鸭(熟):10.0g | 香菜[芫荽](鲜):10.0g,3041.6,36.49,29.96,126.99,0.0,4.8,42.64,956.25
拌猪肝,8,80.0,猪肝:10.0g | 白瓜:10.0g | 大葱:10.0g | 辣椒(红，尖，干):10.0g | 花椒:10.0g | 味精:10.0g | 籼米(标准)[机米]:10.0g | 盐水鸭(熟):10.0g,719.2,10.82,5.16,24.09,0.0,5.3,81.4,984.5
白煮虾,4,514.0,大麦[元麦]:500.0g | 盐水鸭(熟):2.0g | 鸡精:2.0g | 大葱:10.0g,6966.46,51.72,7.61,367.86,0.01,1.7,333.26,408.92
福气排包,13,752.0,藕粉:280.0g | 酵母(鲜):4.0g | 烧饼(加糖):8.0g | 水面筋:135.0g | 蛋清肠:58.0g | 藕粉:60.0g | 藕粉:60.0g | 烧饼(加糖):30.0g | 盐水鸭(熟):4.0g | 炼乳(甜，罐头):12.0g | 橙:63.0g | 橙:10.0g | 黄油:28.0g,9709.28,45.52,43.83,431.61,0.0,24.33,223.26,850.69
炒明虾,4,40.0,虾虎:10.0g | 青豆[青大豆](干):10.0g | 老抽:10.0g | 藕粉:10.0g,414.3,5.42,1.8,15.7,0.0,0.0,25.7,705.96
花生粘,3,30.0,花生(鲜)[落花生，长生果]:10.0g | 糖（白砂糖）:10.0g | 蛋清肠:10.0g,414.9,2.45,4.82,11.87,0.0,1.4,5.4,114.73
泡芹菜,6,559.0,胡萝卜(红)[金笋，丁香萝卜]:1.0g | 芹菜(白茎)[旱芹，药芹]:500.0g | 精盐:10.0g | 糖（绵白糖）:15.0g | 白醋:30.0g | 花椒:3.0g,655.74,4.26,0.95,36.42,0.0,60.13,270.39,4370.31
腌制酸菜,1,10.0,大白菜(均值):10.0g,7.6,0.15,0.01,0.32,0.0,3.1,5.0,5.75
白灼广东菜心,6,375.0,白菜薹[菜薹，菜心]:300.0g | 油面筋:15.0g | 生抽:15.0g | 大蒜[蒜头](鲜):10.0g | 油饼:10.0g | 水面筋:25.0g,1052.6,20.27,7.62,28.14,0.0,132.7,322.25,1103.09
紫苏爆鳝糊,10,100.0,鱼（黄鳝）[鳝鱼]:10.0g | 蒜苗:10.0g | 姜[黄姜](鲜):10.0g | 大蒜[蒜头](鲜):10.0g | 酱油(均值):10.0g | 生抽:10.0g | 盐水鸭(熟):10.0g | 油面筋:10.0g | 料酒:10.0g | 辣椒(红，尖，干):10.0g,622.2,9.51,6.6,15.31,0.0,4.6,28.4,1411.25
香辣肥肠,11,93.0,青稞:10.0g | 猪肉(肥):10.0g | 料酒:10.0g | 蒜苗:10.0g | 姜(干):10.0g | 辣椒(红，尖，干):10.0g | 花椒:10.0g | 沙果:2.0g | 豆角:1.0g | 剁辣椒:10.0g | 豆瓣酱:10.0g,978.15,5.9,12.44,29.83,0.59,3.74,93.79,888.89
橙汁木瓜,1,2.0,果珍:2.0g,34.54,0.0,0.04,1.93,0.0,5.7,2.94,3.93
生姜汁,14,50.5,香肠:2.0g | 生蚝:2.0g | 洋葱[葱头](鲜):1.0g | 番茄酱:2.0g | 柠檬:2.0g | 生抽:4.0g | 糖（白砂糖）:2.5g | 盐水鸭(熟):1.0g | 花生油:1.0g | 籼米(标准)[机米]:1.0g | 水面筋:2.0g | 沙拉酱:10.0g | 韭菜:10.0g | 粉丝:10.0g,635.12,2.34,10.09,13.26,0.0,2.92,15.0,398.82
原味奶茶,6,769.0,茶汤:9.0g | 水面筋:350.0g | 糖（白砂糖）:60.0g | 水面筋:60.0g | 奶柿子[西红柿]:40.0g | 水面筋:250.0g,5065.06,155.47,0.71,144.34,0.0,3.2,521.13,104.68
奥尔良烤鸡肉披萨,1,100.0,鸡胸脯肉:100.0g,557.0,19.4,5.0,2.5,0.0,0.0,3.0,34.4
切牛肉,10,701.0,牛肉(肥瘦)(均值):500.0g | 玉兰片:50.0g | 细香葱[香葱，四季葱]:5.0g | 花椒:2.0g | 江米酒:30.0g | 生抽:30.0g | 油（胡麻油):30.0g | 糜子(带皮):2.0g | 草菇[大黑头细花草]:50.0g | 茴香[小茴香](鲜):2.0g,4104.22,104.59,51.54,28.36,0.0,1.72,175.54,2379.21
艾糕,5,35484.0,玉米淀粉:35000.0g | 玉米淀粉:350.0g | 烧饼(加糖):130.0g | 草菇[大黑头细花草]:2.0g | 麻花:2.0g,520623.56,434.82,38.71,30130.16,0.0,0.0,6430.16,2311.74
滑藕片,4,26.0,豆汁(生):20.0g | 细香葱[香葱，四季葱]:2.0g | 盐水鸭(熟):2.0g | 白醋:2.0g,38.32,0.56,0.56,0.48,0.0,0.28,3.4,36.97
